Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0245202403041288,-0.00121887680694077,0.184011524216061,0,0,0,21.1298408585408,1.89254066592857,-0.0146092851561114,0.212011898183227,2.36684038601633,0.00187505489579215,2.41660095526821,0,0,0,0,0,0,package://full_vehicle_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/base_link.STL,,waike_zongcheng3-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_forward_wheel_link,2.2532564473432E-05,-0.0101355365436505,-1.46484166123617E-05,0,0,0,2.07356558951755,0.00228533784443184,-6.29411048349688E-12,-6.68625624841278E-07,0.00317538753322672,1.53540991621434E-06,0.00239968878319631,0,0,0,0,0,0,package://full_vehicle_description/meshes/left_forward_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/left_forward_wheel_link.STL,,left_back_wheel-1,left_forward_wheel,left_forward_wheel_zhou,left_forward_wheel_2_base_joint,continuous,0.2565,0.265,0.008,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_back_wheel_link,-3.55493297768406E-06,-0.0101355365066319,1.14392895106397E-05,0,0,0,2.0735655962067,0.00229275668783518,1.5436911126585E-06,-6.6862108726585E-07,0.00317538753329079,-8.41556768493781E-09,0.00239226994229613,0,0,0,0,0,0,package://full_vehicle_description/meshes/left_back_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/left_back_wheel_link.STL,,镜向right_back_wheel-3,left_back_wheel,left_back_wheel_zhou,left_back_wheel_base_joint,continuous,-0.2565,0.264999999999999,-0.00799999999999929,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_back_wheel_link,-3.55456782721864E-06,0.0101355365436531,1.1439115535139E-05,0,0,0,2.07356558951755,0.00229275669348851,-1.54377920674257E-06,-6.686486627094E-07,0.00317538753322635,8.37352990924856E-09,0.00239226993413896,0,0,0,0,0,0,package://full_vehicle_description/meshes/right_back_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/right_back_wheel_link.STL,,right_back_wheel-1,right_back_wheel,right_back_wheel_zhou,right_back_wheel_2_base_joint,continuous,-0.2565,-0.265,-0.00799999999999979,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
right_forward_wheel_link,2.25331356564773E-05,0.0101355365066305,-1.46483848037504E-05,0,0,0,2.07356559620668,0.00228533785252228,4.6278155488623E-11,-6.6864381766756E-07,0.00317538753329063,-1.53532382815113E-06,0.0023996887776088,0,0,0,0,0,0,package://full_vehicle_description/meshes/right_forward_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/right_forward_wheel_link.STL,,镜向left_back_wheel-2,right_forward_wheel,right_forward_wheel_zhou,right_forward_wheel_2_base_joint,continuous,0.2565,-0.265,0.00799999999999779,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
laser_link,-0.363520240304128,-0.00121887680693977,-0.244638475783943,0,0,0,21.1298408585408,1.89254066592857,-0.0146092851561114,0.212011898183227,2.36684038601633,0.00187505489579215,2.41660095526821,0,0,0,0,0,0,package://full_vehicle_description/meshes/laser_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/laser_link.STL,,laser-1,laser,laser_zhou,laser_2_base_joint,fixed,0.339,0,0.428650000000004,0,0,0,base_link,0,0,0,,,,,,,,,,,,
back_laser_link,0.319114320382871,0.225281123193059,0.00911152421606259,0,0,0,21.1298408585408,1.89254066592857,-0.0146092851561114,0.212011898183227,2.36684038601633,0.00187505489579215,2.41660095526821,0,0,0,0,0,0,package://full_vehicle_description/meshes/back_laser_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/back_laser_link.STL,,back_laser-2,back_laser,back_laser_zhou,back_laser_2_base_joint,fixed,-0.343634560687,-0.2265,0.174899999999998,0,0,0,base_link,0,0,0,,,,,,,,,,,,
forward_laser_link,-0.369417356418929,-0.212189585338641,0.00911152421606107,0,0,0,21.1298408585408,1.89254066592857,-0.0146092851561115,0.212011898183227,2.36684038601633,0.00187505489579215,2.41660095526821,0,0,0,0,0,0,package://full_vehicle_description/meshes/forward_laser_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/forward_laser_link.STL,,forward_laser-1,forward_laser,forward_laser_zhou,forward_laser_2_base_joint,fixed,0.3448971161148,0.2109707085317,0.174899999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
forward_camera_link,-0.0104200902716998,0.000776216895392756,-0.0136749571693403,0,0,0,0.0622351737112097,3.00406391595037E-05,-2.50242417913487E-08,2.04951886353508E-06,9.72697947803115E-06,-3.11308509816576E-09,3.17165322372168E-05,0,0,0,0,0,0,package://full_vehicle_description/meshes/forward_camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/forward_camera_link.STL,,forward_camera-1,forward_camera,forward_camera_zhou,forward_camera_2_base_joint,fixed,-0.276092612309405,0,0.621499999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_camera_link,-0.000776218778205162,-0.0104200897692898,-0.0136749515445058,0,0,0,0.0622351918687411,9.72698056987093E-06,2.50245731474228E-08,3.11345461582129E-09,3.0040640606016E-05,2.0495183206202E-06,3.17165335817044E-05,0,0,0,0,0,0,package://full_vehicle_description/meshes/left_camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/left_camera_link.STL,,left_camera-1,left_camera,left_camera_zhou,left_camera_2_base_joint,fixed,-0.349000000000005,0.0729073876905981,0.621499999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
back_camera_link,0.0104200902716999,-0.000776216895392423,-0.0136749571693407,0,0,0,0.0622351737112089,3.00406391595041E-05,-2.50242417915018E-08,-2.04951886353514E-06,9.72697947803101E-06,3.11308509787832E-09,3.17165322372174E-05,0,0,0,0,0,0,package://full_vehicle_description/meshes/back_camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://full_vehicle_description/meshes/back_camera_link.STL,,back_camera-1,back_camera,back_camera_zhou,back_camera_2_base_joint,fixed,-0.421907387690605,0,0.621499999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
